character,value,rule,identification,"role (narrator, detective, perpetrator)",type of perpetrator
1,Sherlock Holmes,1,TRUE,detective,
1,Holmes,1,FALSE,,
1,companion,1,FALSE,,
1,friend,1,FALSE,,
1,Mister Sherlock Holmes,1,FALSE,,
1,Mr. Sherlock Holmes,1,FALSE,,
2,Irene Adler,1,TRUE,,
2,Mademoiselle,1,FALSE,,
2,Miss Irene Adler,1,FALSE,,
2,Miss Adler,1,FALSE,,
2,bride,1,FALSE,,
2,Madame,1,FALSE,,
2,Miss Irene,1,FALSE,,
2,lady,1,FALSE,,
2,mistress,1,FALSE,,
2,Irene Norton née Adler,1,FALSE,,
3,Watson,1,TRUE,narrator,
3,Doctor,1,FALSE,,
3,Dr. Watson,1,FALSE,,
4,King of Bohemia,1,TRUE,,
4,Count Von Kramm,1,FALSE,,
4,nobleman,1,FALSE,,
4,visitor,1,FALSE,,
4,client,1,FALSE,,
4,Majesty,1,FALSE,,
4,King,1,FALSE,,
4,Wilhelm Gottsreich Sigismond von Ormstein,1,FALSE,,
4,Grand Duke of Cassel-Felstein,1,FALSE,,
4,Count,1,FALSE,,
5,Mary Jane,1,TRUE,,
5,girl,1,FALSE,,
6,Clotilde Lothman von Saxe-Meningen,1,TRUE,,
7,King of Scandinavia,1,TRUE,,
8,Mr. Godfrey Norton,1,TRUE,,
8,Godfrey Norton,1,FALSE,,
8,bridegroom,1,FALSE,,
8,Norton,1,FALSE,,
9,cabman,1,TRUE,,
9,coachman,1,FALSE,,
9,cabby,1,FALSE,,
9,John,1,FALSE,,
10,clergyman,1,TRUE,,
11,Mrs. Turner,1,TRUE,,
