character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Sherlock Holmes,1,TRUE,detective,
1,Holmes,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,friend,1,FALSE,,
2,husband ,1,TRUE,,
3,wife,1,TRUE,,
4,Dr. Watson,1,TRUE,narrator,
4,Doctor,1,FALSE,,
4,my dear fellow,1,FALSE,,
5,King of Bohemia ,1,TRUE,,
6,Irene Adler,1,TRUE,,
7,Miss Mary Sutherland,1,TRUE,victim,
7,woman,1,FALSE,,
7,lady,1,FALSE,,
7,visitor,1,FALSE,,
7,maiden,1,FALSE,,
7,Miss Sutherland,1,FALSE,,
7,girl,1,FALSE,,
8,Mrs. Etherege,1,TRUE,,
9,Mr. Hosmer Angel,1,TRUE,,
9,Hosmer,1,FALSE,,
9,Mr. Angel,1,FALSE,,
9,Hosmer Angel,1,FALSE,,
9,bridegroom,1,FALSE,,
9,Angel,1,FALSE,,
9,gentleman,1,FALSE,,
10,Mr. Windibank,1,TRUE,perpetrator,conspiracy?
10,stepfather,1,FALSE,,
10,scoundrel,1,FALSE,,
10,Mr. James Windibank,1,FALSE,,
10,Windibank,1,FALSE,,
10,James Windibank ,1,FALSE,,
10,That fellow,1,FALSE,,
10,man,1,FALSE,,
11,mother,1,TRUE,,
12,father,1,TRUE,,
13,Mr. Hardy,1,TRUE,,
14,cabman ,1,TRUE,,
15,sufferer,1,TRUE,,
