character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Sherlock Holmes,1,TRUE,detective,
1,Mr. Sherlock Holmes,1,FALSE,,
1,Holmes,1,FALSE,,
1,companion,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,friend,1,FALSE,,
2,wife-Watson,1,TRUE,,
3,John Cobb,1,TRUE,,
4,Anstruther,1,TRUE,,
5,Watson,1,TRUE,narrator,
6,Juryman,1,TRUE,,
7,Mr. John Turner,1,TRUE,perpetrator,murderer
7,Turner,1,FALSE,,
7,Mr. Turner,1,FALSE,,
7,Poor father,1,FALSE,,
7,dad,1,FALSE,,
7,old Turner,1,FALSE,,
7,the old man,1,FALSE,,
7,murderer,1,FALSE,,
7,father-Turner,1,FALSE,,
7,Jack,1,FALSE,,
7,Black Jack,1,FALSE,,
8,Mr. Charles McCarthy,1,TRUE,victim,
8,McCarthy,1,FALSE,,
8,Mr. McCarthy,1,FALSE,,
8,the father,1,FALSE,,
8,Mr. McCarthy the elder ,1,FALSE,,
8,his father,1,FALSE,,
8,my father,1,FALSE,,
8,your father,1,FALSE,,
8,the older man,1,FALSE,,
8,the murdered man ,1,FALSE,,
8,this McCarthy,1,FALSE,,
8,McCarthy senior,1,FALSE,,
9,his serving-man ,1,TRUE,,
10,William Crowder,1,TRUE,,
11,Mr. James McCarthy,1,TRUE,,
11,son,1,FALSE,,
11,young Mr. McCarthy,1,FALSE,,
11,the young man ,1,FALSE,,
11,the unfortunate young man,1,FALSE,,
11,Witness McCarthy,1,FALSE,,
11,witness,1,FALSE,,
11,James,1,FALSE,,
11,James McCarthy,1,FALSE,,
11,this unhappy young man,1,FALSE,,
11,young McCarthy,1,FALSE,,
11,fellow,1,FALSE,,
11,McCarthy junior,1,FALSE,,
11,lad,1,FALSE,,
12,doctor,1,TRUE,,
13,Patience Moran,1,TRUE,,
13,the little girl,1,FALSE,,
14,lodge-keeper,1,TRUE,,
14,lodge-keeper,1,FALSE,,
15,Miss Turner,1,TRUE,,
15,women,1,FALSE,,
15,daughter,1,FALSE,,
15,my dear girl,1,FALSE,,
15,Alice,1,FALSE,,
15,my girl,1,FALSE,,
16,Mr. Lestrade,1,TRUE,,
16,Lestrade,1,FALSE,,
17,woman,1,TRUE,,
18,inspector,1,TRUE,,
19,Coroner,1,TRUE,,
20,waiter,1,TRUE,,
21,Dr. Willows,1,TRUE,,
22,wife,1,TRUE,,
22,barmaid ,1,FALSE,,
23,wife-Turner,1,TRUE,,
