character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Sherlock Holmes,1,TRUE,detective,
1,friend ,1,FALSE,,
1,Holmes,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
2,wife,1,TRUE,,
3,Major Prendergast ,1,TRUE,,
4,John Openshaw,1,TRUE,victim,
4,John,1,FALSE,,
4,man,1,FALSE,,
4,young Openshaw,1,FALSE,,
5,grandfather,1,TRUE,,
6,Colonel Openshaw,1,TRUE,victim,
6,uncle,1,FALSE,,
6,colonel,1,FALSE,,
6,Elias,1,FALSE,,
6,Openshaw,1,FALSE,,
7,Joseph,1,TRUE,victim,
7,father ,1,FALSE,,
7,brother,1,FALSE,,
8,Mary,1,TRUE,,
9,Fordham,1,TRUE,,
9,lawyer,1,FALSE,,
9,Mr. Fordham ,1,FALSE,,
10,Major Freebody,1,TRUE,,
10,major,1,FALSE,,
11,Watson,1,TRUE,narrator,
11,Doctor,1,FALSE,,
12,maid,1,TRUE,,
13,Captain James Calhoun,1,TRUE,perpetrator,murderer and K.K.K. member
13,Captain Calhoun,1,FALSE,,
13,writer,1,FALSE,,
