character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",type of perpetrator
1,Isa Whitney,1,TRUE,,
1,Isa,1,FALSE,,
1,husband-Isa,1,FALSE,,
1,Whitney,1,FALSE,,
1,that sottish friend of yours ,1,FALSE,,
2,Elias Whitney,1,TRUE,,
3,wife-Watson,1,TRUE,,
4,Kate Whitney,1,TRUE,,
4,Kate,1,FALSE,,
4,wife-Kate,1,FALSE,,
5,Watson,1,TRUE,narrator,
5,James,1,FALSE,,
5,doctor,1,FALSE,,
5,Dr. Watson,1,FALSE,,
5,my friend,1,FALSE,,
5,colleague,1,FALSE,,
6,Inspector Barton,1,TRUE,,
7,Sherlock Holmes,1,TRUE,detective,
7,Holmes,1,FALSE,,
7,man-disguise,1,FALSE,,
7,companion,1,FALSE,,
7,Mr. Sherlock Holmes,1,FALSE,,
7,Mr. Holmes,1,FALSE,,
8,John,1,TRUE,,
9,Neville St. Clair,1,TRUE,"perpetrator, victim","disgused self as beggar, imprisoned on false accusation of killing Neville (himself, underneath his disguise)"
9,Mr. St. Clair ,1,FALSE,,
9,Mr. Neville St. Clair,1,FALSE,,
9,husband-Neville,1,FALSE,,
9,gentleman,1,FALSE,,
9,Neville,1,FALSE,,
9,prisoner,1,FALSE,,
9,sleeper,1,FALSE,,
9,the missing man,1,FALSE,,
10,Mrs. St. Clair,1,TRUE,,
10,daughter,1,FALSE,,
10,wife,1,FALSE,,
10,woman,1,FALSE,,
11,Lascar,1,TRUE,,
11,proprietor,1,FALSE,,
11,manager,1,FALSE,,
11,confederate,1,FALSE,,
12,inspector,1,TRUE,,
13,Dane,1,TRUE,,
14,Hugh Boone,1,TRUE,,
14,wretch,1,FALSE,,
14,cripple,1,FALSE,,
14,creature,1,FALSE,,
14,Boone,1,FALSE,,
14,this horrible man,1,FALSE,,
15,stable-boy,1,TRUE,,
15,boy,1,FALSE,,
16,Inspector Bradstreet,1,TRUE,,
16,Bradstreet,1,FALSE,,
16,official,1,FALSE,,
