character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",type of perpetrator
1,Sherlock Holmes,1,TRUE,detective,
1,friend,1,FALSE,,
1,Holmes,1,FALSE,,
1,my companion,1,FALSE,,
1,Mr. Cocksure,1,FALSE,,
1,accuser,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,detective,1,FALSE,,
2,Peterson,1,TRUE,,
2,commissionaire,1,FALSE,,
3,Mrs. Henry Baker,1,TRUE,,
3,wife,1,FALSE,,
4,Watson,1,TRUE,narrator,
4,Doctor,1,FALSE,,
5,Countess of Morcar,1,TRUE,victim,
5,Countess,1,FALSE,,
5,lady,1,FALSE,,
6,John Horner,1,TRUE,,
6,Horner,1,FALSE,,
7,James Ryder,1,TRUE,perpetrator,theif
7,Ryder,1,FALSE,,
7,fellow,1,FALSE,,
7,man,1,FALSE,,
7,inquirer,1,FALSE,,
7,John Robinson-alias,1,FALSE,,
7,stranger,1,FALSE,,
7,our new companion,1,FALSE,,
7,Mr. Ryder,1,FALSE,,
7,Jem,1,FALSE,,
8,Catherine Cusack,1,TRUE,,
8,waiting-maid,1,FALSE,,
8,Cusack,1,FALSE,,
9,Inspector Bradstreet,1,TRUE,,
10,Mr. Henry Baker,1,TRUE,,
10,Henry Baker,1,FALSE,,
10,Mr. Baker,1,FALSE,,
11,Mr. Windigate,1,TRUE,,
11,Windigate,1,FALSE,,
11,landlord,1,FALSE,,
12,Breckinridge,1,TRUE,,
12,salesman,1,FALSE,,
12,Mr. Breckinridge,1,FALSE,,
13,Bill,1,TRUE,,
13,boy,1,FALSE,,
14,Mrs. Oakshott,1,TRUE,,
15,Maudsley,1,TRUE,,
16,Maggie,1,TRUE,,
16,sister,1,FALSE,,
