character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",type of perpetrator
1,Sherlock Holmes,1,TRUE,detective,
1,Holmes,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,companion,1,FALSE,,
1,My friend ,1,FALSE,,
2,driver,1,TRUE,,
3,landlord,1,TRUE,,
4,Watson,1,TRUE,narrator,
4,Dr. Watson,1,FALSE,,
5,Mrs. Hudson,1,TRUE,,
6,Mrs. Farintosh,1,TRUE,,
6,Farintosh,1,FALSE,,
6,your friend,1,FALSE,,
7,Helen Stoner,1,TRUE,,
7,our visitor,1,FALSE,,
7,Helen,1,FALSE,,
7,Miss Roylott,1,FALSE,,
7,Miss Helen Stoner ,1,FALSE,,
7,stepdaughter,1,FALSE,,
7,the lady,1,FALSE,,
7,step-daughter,1,FALSE,,
7,girl,1,FALSE,,
8,Dr. Grimesby Roylott,1,TRUE,perpetrator,murderer
8,stepfather,1,FALSE,,
8,doctor,1,FALSE,,
8,Dr. Roylott,1,FALSE,,
8,Doctor,1,FALSE,,
8,man,1,FALSE,,
8,our new visitor,1,FALSE,,
9,Mrs. Stoner,1,TRUE,,
9,mother,1,FALSE,,
10,Major-General Stoner,1,TRUE,,
11,Julia,1,TRUE,victim,
11,sister,1,FALSE,,
11,the lady to whom the pledge was given,1,FALSE,,
11,the deceased wife,1,FALSE,,
12,blacksmith,1,TRUE,,
13,Miss Honoria Westphail,1,TRUE,,
13,aunt,1,FALSE,,
14,Percy Armitage,1,TRUE,,
14,Armitage,1,FALSE,,
15,Mr. Armitage,1,TRUE,,
