character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,detective,
1,my friend,1,FALSE,,
1,Holmes,1,FALSE,,
1,Sherlock Holmes ,1,FALSE,,
2,Colonel Lysander Stark,1,TRUE,perpetrator,chopped off Hatherley's thumb (suspected mass murderer)
2,colonel ,1,FALSE,,
2,patron ,1,FALSE,,
2,Colonel Stark ,1,FALSE,,
2,Colonel,1,FALSE,,
2,villain,1,FALSE,,
3,Colonel Warburton,1,TRUE,,
4,maid,1,TRUE,,
5,guard,1,TRUE,,
6,Mr. Victor Hatherley,1,TRUE,victim,
6,visitor,1,FALSE,,
6,Mr. Hatherley,1,FALSE,,
6,patient,1,FALSE,,
6,engineer,1,FALSE,,
6,Hatherley,1,FALSE,,
7,Doctor,1,TRUE,narrator,
7,doctor,1,FALSE,,
8,woman,1,TRUE,,
8,lady,1,FALSE,,
8,the same good friend,1,FALSE,,
8,guide,1,FALSE,,
8,girl,1,FALSE,,
9,Mr. Ferguson,1,TRUE,,
9,the manager,1,FALSE,,
9,Ferguson,1,FALSE,,
10,porter,1,TRUE,,
11,Mr. Jeremiah Hayling,1,TRUE,,
12,Inspector Bradstreet,1,TRUE,,
12,Bradstreet,1,FALSE,,
12,inspector,1,FALSE,,
13,horse,1,TRUE,,
14,the station-master,1,TRUE,,
15,Dr. Becher,1,TRUE,,
