character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Lord St. Simon ,1,TRUE,victim,
1,bridegroom,1,FALSE,,
1,correspondent,1,FALSE,,
1,lord ,1,FALSE,,
1,Lord Robert Walsingham de Vere St. Simon,1,FALSE,,
1,Lord Robert St. Simon,1,FALSE,,
1,client,1,FALSE,,
1,nobleman,1,FALSE,,
1,visitor,1,FALSE,,
1,Robert,1,FALSE,,
1,Lordship,1,FALSE,,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
2,friend,1,FALSE,,
2,companion,1,FALSE,,
2,Master Holmes,1,FALSE,,
2,Mr. Holmes,1,FALSE,,
3,Mr. Lestrade,1,TRUE,,
3,Lestrade,1,FALSE,,
3,detective,1,FALSE,detective,
4,Lord Backwater,1,TRUE,,
5,Duke of Balmoral,1,TRUE,,
5,Duke,1,FALSE,,
6,Dr. Watson,1,TRUE,narrator,
6,Watson,1,FALSE,,
7,Miss Hatty Doran,1,TRUE,perpetrator,leaving her husband-to-be (Lord St. Simon) at the altar 
7,Miss Doran,1,FALSE,,
7,bride,1,FALSE,,
7,daughter,1,FALSE,,
7,mistress,1,FALSE,,
7,lady,1,FALSE,,
7,wife,1,FALSE,,
7,Lady St. Simon,1,FALSE,,
7,lady-Hatty,1,FALSE,,
7,girl,1,FALSE,,
7,Mrs. Francis Hay Moulton,1,FALSE,,
7,Moulton,1,FALSE,,
7,Mrs. Moulton,1,FALSE,,
8,Aloysius Doran,1,TRUE,,
8,Mr. Aloysius Doran,1,FALSE,,
8,father,1,FALSE,,
8,Mr. Doran,1,FALSE,,
8,Pa,1,FALSE,,
9,Duchess of Balmoral,1,TRUE,,
10,Lord Eustace,1,TRUE,,
11,Lady Clara St. Simon ,1,TRUE,,
12,Lady Alicia Whittington,1,TRUE,,
13,Flora Millar,1,TRUE,,
13,woman,1,FALSE,,
13,Miss Flora,1,FALSE,,
13,Flora,1,FALSE,,
14,butler,1,TRUE,,
15,footmen,1,TRUE,,
16,Alice,1,TRUE,,
16,maid,1,FALSE,,
17,page-boy,1,TRUE,,
18,King of Scandinavia,1,TRUE,,
19,gentleman,1,TRUE,,
20,man,1,TRUE,,
21,youth,1,TRUE,,
22,Mr. Francis Hay Moulton,1,TRUE,,
22,Frank,1,FALSE,,
22,F.H.M.,1,FALSE,,
22,Mr. Moulton,1,FALSE,,
22,Francis H. Moulton,1,FALSE,,
23,a clergyman,1,TRUE,,
24,the clergyman ,1,TRUE,,
25,mother,1,TRUE,,
