character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Sherlock Holmes,1,TRUE,detective,
1,Holmes,1,FALSE,,
1,My friend,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,a gentleman,1,FALSE,,
1,companion,1,FALSE,,
2,Alexander Holder,1,TRUE,"victim, perpetrator",falsely accused his son and sent him to jail
2,the single gentleman ,1,FALSE,,
2,The man Holder,1,FALSE,,
2,visitor,1,FALSE,,
2,madman,1,FALSE,,
2,Mr. Holder,1,FALSE,,
2,dad,1,FALSE,,
2,banker,1,FALSE,,
2,father,1,FALSE,,
2,financier,1,FALSE,,
2,uncle,1,FALSE,,
3,police inspector,1,TRUE,detective,
3,inspector,1,FALSE,,
4,client,1,FALSE,,
5,cashier,1,TRUE,,
6,groom,1,TRUE,,
7,page,1,TRUE,,
8,house-maid,1,FALSE,,
8,the girl who waited in the drawing-room,1,FALSE,,
8,one of the servants,1,FALSE,,
9,Arthur,1,TRUE,victim,
9,boy,1,FALSE,,
9,son,1,FALSE,,
9,lad,1,FALSE,,
9,fellow,1,FALSE,,
10,wife,1,TRUE,,
11,Sir George Burnwell,1,TRUE,perpetrator,thief
11,Burnwell ,1,FALSE,,
11,her lover,1,FALSE,,
11,opponent,1,FALSE,,
11,Boots,1,FALSE,,
11,thief,1,FALSE,,
12,Miss Mary Holder,1,TRUE,,
12,Mary,1,FALSE,,
12,lady,1,FALSE,,
12,my girl,1,FALSE,,
12,Miss Holder,1,FALSE,,
12,niece,1,FALSE,,
12,cousin,1,FALSE,,
12,woman,1,FALSE,,
13,partner,1,TRUE,,
14,Watson,1,TRUE,narrator,
14,This gentleman,1,FALSE,,
15,Francis Prosper,1,TRUE,,
15,sweetheart,1,FALSE,,
15,her wooden-legged lover,1,FALSE,,
16,Lucy Parr,1,TRUE,,
16,Lucy,1,FALSE,,
