character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Sherlock Holmes,1,TRUE,detective,
1,friend,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,companion,1,FALSE,,
1,Holmes,1,FALSE,,
1,Holmes,1,FALSE,,
2,Watson,1,TRUE,narrator,
2,my dear fellow,1,FALSE,,
2,my friend-Watson ,1,FALSE,,
2,Watson,1,FALSE,,
3,lady,1,FALSE,,
3,Miss Hunter,1,FALSE,,
3,client,1,FALSE,,
3,Hunter,1,FALSE,,
3,Miss Violet Hunter,1,FALSE,,
4,Colonel Spence Munro,1,TRUE,,
5,Miss Stoper,1,TRUE,,
5,manageress,1,FALSE,,
6,A prodigiously stout man ,1,FALSE,,
6,father,1,FALSE,,
6,Mr. Rucastle ,1,FALSE,,
6,the man Rucastle ,1,FALSE,,
6,employer,1,FALSE,,
6,husband,1,FALSE,,
6,Jephro,1,FALSE,,
6,a very fat and burly man,1,FALSE,,
6,The fat man ,1,FALSE,,
6,Rucastle,1,FALSE,,
7,Edward,1,TRUE,,
7,child,1,FALSE,,
7,romper,1,FALSE,,
7,son,1,FALSE,,
7,the creature,1,FALSE,,
8,Mrs. Rucastle,1,TRUE,,
8,my wife,1,FALSE,,
8,stepmother,1,FALSE,,
8,her father’s young wife,1,FALSE,,
8,woman-Rucastle,1,FALSE,,
8,the woman Rucastle,1,FALSE,,
8,his mother,1,FALSE,,
8,wife-Rucastle,1,FALSE,,
8,his devoted wife,1,FALSE,,
9,page,1,TRUE,,
10,Miss Alice Rucastle,1,TRUE,victim,
10,daughter,1,FALSE,,
10,Miss Rucastle ,1,FALSE,,
10,Miss Alice,1,FALSE,,
10,prisoner ,1,FALSE,,
10,victim ,1,FALSE,,
10,girl,1,FALSE,,
10,this poor creature,1,FALSE,,
11,Lord Southerton,1,TRUE,,
12,the first wife,1,TRUE,,
13,Toller,1,TRUE,,
13,groom,1,FALSE,,
13,Old Toller,1,FALSE,,
13,husband-Toller ,1,FALSE,,
14,Mrs. Toller,1,TRUE,,
14,wife-Toller,1,FALSE,,
14,woman,1,FALSE,,
15,Mr. Fowler,1,TRUE,,
15,a small bearded man,1,FALSE,,
15,This man,1,FALSE,,
15,an impertinent fellow,1,FALSE,,
15,the man in the road,1,FALSE,,
16,Carlo,1,TRUE,,
16,animal,1,FALSE,,
16,mastiff,1,FALSE,,
16,dog,1,FALSE,,
16,sentinel,1,FALSE,,
16,the savage creature,1,FALSE,,
16,hound,1,FALSE,,
16,brute,1,FALSE,,
17,An elderly man,1,TRUE,,
18,surgeon,1,TRUE,,
