character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
1,Doctor,1,FALSE,,
2,Sherlock Holmes,1,TRUE,detective,"Sherlock is technically the narrator of this story, as him and Trevor are the usual partner/detective combo. Nevertheless, Watson still frames the story."
2,companion,1,FALSE,detective,
3,Victor Trevor,1,TRUE,,
3,reader,1,FALSE,,
3,Trevor,1,FALSE,,
3,young Trevor,1,FALSE,,
3,my son,1,FALSE,,
3,my friend,1,FALSE,,
4,Old Trevor,1,TRUE,victim,
4,father,1,FALSE,,
4,Trevor senior,1,FALSE,,
4,Mr. Trevor,1,FALSE,,
4,governor,1,FALSE,,
4,host,1,FALSE,,
4,dad,1,FALSE,,
4,James Armitage,1,FALSE,,
5,Sir Edward Holly,1,TRUE,,
6,J.A.,1,TRUE,,
7,maid,1,TRUE,,
8,Hudson,1,TRUE,perpetrator (blackmailer),
8,sailor,1,FALSE,,
8,seaman,1,FALSE,,
8,gardener,1,FALSE,,
8,ruffian,1,FALSE,,
8,H.,,FALSE,,
8,butler,1,FALSE,,
9,Mr. Beddoes,1,TRUE,,
10,Gloria Scott,1,TRUE,,ship
10,craft,1,FALSE,,
11,Jack Prendergast,1,TRUE,,
12,Mereer,1,TRUE,,
13,Evans,1,TRUE,,
14,Wilson,1,TRUE,,
14,chaplain,1,TRUE,,
15,doctor,1,TRUE,,
16,corporal,1,TRUE,,
17,captain,1,TURE,,
18,mate,1,TRUE,,
19,Hotspur,1,TRUE,,another ship
