character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
3,Jackson,1,TRUE,,
4,Colonel Barclay,1,TRUE,victim,
4,James Barclay,1,FALSE,,
4,Colonel,1,FALSE,,
4,master,1,FALSE,,
4,Barclay,1,FALSE,,
4,soldier,1,FALSE,,
4,veteran,1,FALSE,,
4,Colonel James Barclay,1,FALSE,,
5,Mrs. Barclay,1,TRUE,,
5,wife,1,FALSE,,
5,Nancy Devoy,1,FALSE,,
5,Nancy,1,FALSE,,
5,mistress,1,FALSE,,
6,Major Murphy,1,TRUE,,
6,major,1,FALSE,,
7,coachman,1,TRUE,,
8,Miss Morrison,1,TRUE,,
9,Jane Stewart,1,TRUE,,
9,House-maid,1,FALSE,,
9,housemaid,1,FALSE,,spelled differently
10,Henry Wood,1,TRUE,,
10,Henry,1,FALSE,,
10,creature,1,FALSE,,
10,crippled wretch,1,FALSE,,
10,Colonel Henry Wood,1,FALSE,,
11,General Neill,1,TRUE,,
11,Neill,1,FALSE,,
12,Teddy,1,TRUE,,Teddy is a pet mongoose
12,mongoose,1,FALSE,,
12,icheumon,1,FALSE,,
13,David,1,FALSE,,"Mentioned a couple times in the story. It is not a name or person, its a term of reproach used for Barclay because the biblical David, just like Barclay, strayed from his path"
