character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
3,General Gordon,1,TRUE,,not a character but a picture framed in Watson's house
3,Gordon,1,FALSE,,
4,Henry Ward Beecher,1,TRUE,,same as above
4,Beecher,1,FALSE,,
5,Doctor Percy Trevelyan,1,TRUE,,
5,Dr. Trevelyan,1,FALSE,,
5,general practitioner ,1,FALSE,,
5,doctor,1,FALSE,,
6,Mr. Blessington,1,TRUE,,
6,Blessington,1,FALSE,,
6,Sutton,1,FALSE,,
7,patient,1,TRUE,,
8,nobleman,1,TRUE,,
8,father,1,FALSE,,
8,Russian,1,,,
8,count,1,FALSE,,
9,companion,,,,
9,man,,,,
9,son,,,,
10,Page-boy,1,TRUE,,
10,page,1,FALSE,,
10,imp,1,FALSE,,
11,Lanner,1,TRUE,,
11,Police-inspector,1,TRUE,,
,Biddle,,,,"These three names are used to denote the real identities character 8, 9 and 10. The only issue is that Holmes does not specify which character it refers to. "
,Hayward,,,,
,Moffatt,,,,
