character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
3,Mycroft Holmes,1,TRUE,,
3,Mycroft,,,,
3,brother,1,FALSE,,
4,Adams,1,TRUE,,
5,Mr. Melas,1,TRUE,victim,
5,interpreter,1,FALSE,,
6,Harold Latimer,1,TRUE,,
6,Mr. Latimer,1,FALSE,perp,
6,Harold,1,FALSE,,
7,Wilson Kemp,1,TRUE,perp,
7,tyrant,1,FALSE,,
8,Paul Kratides,1,TRUE,victim,
8,man,1,FALSE,,
8,Paul,1,FALSE,,
8,Kratides,1,FALSE,,
8,prisoner,1,FALSE,,
9,Sophy,1,TRUE,,
9,Sophy Kratides,1,FALSE,,
9,girl,1,FALSE,,
10,porter,1,FALSE,,
11,J. Davenport,1,TRUE,,
12,Inspector Gregson,1,TRUE,,
