character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
2,friend,1,FALSE,,
3,Percy Phelps,1,TRUE,victim,
3,Tadpole,1,FALSE,,
3,Phelps,1,FALSE,,
3,diplomatist,1,FALSE,,
3,client,1,FALSE,,
4,Lord Holdhurst,1,TRUE,,
4,statesman,1,FALSE,,
4,uncle,1,FALSE,,
5,my wife,1,TRUE,,
6,Page-boy,1,TRUE,,
7,Joseph Harrison,1,TRUE,thief/perpetrator,
7,Joseph,1,FALSE,,
7,brother,1,FALSE,,
7,man,1,FALSE,,
7,Master Joseph,1,FALSE,,
8,Annie Harrison,1,TRUE,,
8,Annie,1,FALSE,,
8,sister,1,FALSE,,
8,Miss Harrison,1,FALSE,,
9,Charles Gorot,1,TRUE,,
10,Tangey,1,TRUE,,
10,commissionnaire,1,FALSE,,
11,Mrs. Tangey,1,TRUE,,
11,wife,1,FALSE,,
11,mother,1,FALSE,,
12,Mr. Forbes,1,TRUE,,
12,detective,1,FALSE,,
13,daughter,1,FALSE,,
14,Dr. Ferrier,1,TRUE,,
15,nurse,1,TRUE,,
16,thief,1,FALSE,,
16,burglar,1,FALSE,,
17,Gorot,1,TRUE,,
17,clerk,1,FALSE,,
18,Mrs. Hudson,1,TRUE,,
