character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Honourable Ronald Adair,1,TRUE,victim,
1,Ronald Adair,1,FALSE,,
1,Ronald,1,FALSE,,
1,youth,1,FALSE,,
1,aristocrat,1,FALSE,,
1,Adair,1,FALSE,,
1,son,1,FALSE,,
1,The unfortunate young man,1,FALSE,,
1,the young man,1,FALSE,,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
2,chap,1,FALSE,,
2,an elderly deformed man disguised,1,FALSE,,
2,the fellow disguised,1,FALSE,,
2,owner,1,FALSE,,
2,book-collector,1,FALSE,,
2,companion,1,FALSE,,
2,My friend,1,FALSE,,
2,my comrade,1,FALSE,,
2,Mr. Holmes,1,FALSE,,
2,Mr. Sherlock Holmes,1,FALSE,,
3,Earl of Maynooth,1,TRUE,,
4,mother ,1,TRUE,,
5,Hilda,1,TRUE,,
5,sister,1,FALSE,,
5,daughter,1,FALSE,,
6,servant,1,TRUE,,
7,Lady Maynooth,1,TRUE,,
8,Mrs. Stewart,1,TRUE,,
9,"A tall, thin man",1,TRUE,,
10,Professor James Moriarty,1,TRUE,,
10,Professor,1,FALSE,,
10,Moriarty,1,FALSE,,
10,leader,1,FALSE,,
10,Professor Moriarty,1,FALSE,,
10,his friend,1,FALSE,,
10,his comrade,1,FALSE,,
10,Moriarty,1,FALSE,,
11,maid,1,TRUE,,
12,Monsieur Oscar Meunier,1,TRUE,,
13,Watson,1,TRUE,narrator,
13,gentleman,1,FALSE,,
13,my dear fellow,1,FALSE,,
14,confederate,1,TRUE,,
14,the bosom friend of Moriarty,1,FALSE,,
15,Von Herder,1,TRUE,,
16,Mr. Murray,1,TRUE,,
17,Sir John Hardy,1,TRUE,,
18,Colonel Moran,1,TRUE,,
19,Godfrey Milner ,1,TRUE,,
20,Lord Balmoral,1,TRUE,,
21,Mycroft,1,TRUE,,
22,Mrs. Hudson ,1,TRUE,,
23,Colonel Sebastian Moran,1,TRUE,perpetrator,murderer
23,figure,1,FALSE,,
23,The sinister man,1,FALSE,,
23,prisoner,1,FALSE,,
23,Colonel,1,FALSE,,
23,The fierce old man,1,FALSE,,
23,Moran,1,FALSE,,
23,murderer,1,FALSE,,
24,Parker,1,TRUE,,
25,Lestrade,1,TRUE,detective_2,
25,detective,1,FALSE,,
