character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",,
1,Mr. Sherlock Holmes,1,TRUE,detective,,
1,Holmes,1,FALSE,,,
1,Mr. Holmes,1,FALSE,,,
1,companion,1,FALSE,,,
1,my friend,1,FALSE,,,
1,Sherlock Holmes,1,FALSE,,,
2,Watson,1,TRUE,narrator,,
2,fellow,1,FALSE,,,
2,Dr. Watson,1,FALSE,,,
3,Verner,1,TRUE,,,
4,official,1,TRUE,detective_2,,
4,Inspector Lestrade,1,FALSE,,,
4,Lestrade,1,FALSE,,,
4,detective,1,FALSE,,,
4,our friend,1,FALSE,,,
4,inspector,1,FALSE,,,
4,Mr. Lestrade,1,FALSE,,,
5,Professor Moriarty,1,TRUE,,,
6,John Hector McFarlane,1,TRUE,victim,,
6,a wild-eyed and frantic young man,1,FALSE,,,
6,Mr. McFarlane,1,FALSE,,,
6,client,1,FALSE,,,
6,visitor,1,FALSE,,,
6,person,1,FALSE,,,
6,Mr. John Hector McFarlane,1,FALSE,,,
6,McFarlane,1,FALSE,,,
6,prisoner,1,FALSE,,,
6,boy,1,FALSE,,,
6,The wretched young man,1,FALSE,,,
6,the young man,1,FALSE,,,
6,youngster,1,FALSE,,,
6,son,1,FALSE,,,
6,John McFarlane,1,FALSE,,,
6,this young man,1,FALSE,,,
6,child,1,FALSE,,,
6,his unfortunate victim,1,FALSE,,,
7,Mr. Jonas Oldacre,1,TRUE,perpetrator,"conspiracy, possibly attempted murder",
7,Builder,1,FALSE,,,
7,Mr. Oldacre,1,FALSE,,,
7,the victim,1,FALSE,,,
7,Oldacre,1,FALSE,,,
7,Jonas Oldacre,1,FALSE,,,
7,that wicked man,1,FALSE,,,
7,master,1,FALSE,,,
7,"a little, wizened man",1,FALSE,,,
7,new-comer,1,FALSE,,,
7,gentleman,1,FALSE,,,
7,creature,1,FALSE,,,
7,rat,1,FALSE,,,
7,The little man,1,FALSE,,,
8,constable,1,TRUE,,,
9,Mrs. Lexington,1,TRUE,,,
9,housekeeper,1,FALSE,,,
9,woman,1,FALSE,,,
10,Ex-President Murillo,1,TRUE,,,
11,father,1,TRUE,,,
12,mother,1,TRUE,,,
12,sweetheart,1,FALSE,,,
13,Hyams,1,TRUE,,,
14,Bert Stevens,1,TRUE,,,
15,Mr. Cornelius,1,TRUE,,,
15,Cornelius,1,FALSE,,,
