character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",,,
1,Sherlock Holmes ,1,TRUE,detective,,,
1,Holmes,1,FALSE,,,,
1,Mr. Holmes,1,FALSE,,,,
1,comrade ,1,FALSE,,,,
1,companion,1,FALSE,,,,
1,friend ,1,FALSE,,,,
2,Dr. Watson,1,TRUE,narrator,,,
2,Watson,1,FALSE,,,,
3,Thurston,1,TRUE,,,,
4,Mr. Hilton Cubitt,1,TRUE,victim,,,
4,"a tall, ruddy, clean-shaven gentleman",1,FALSE,,,,
4,visitor,1,FALSE,,,,
4,Hilton,1,FALSE,,,,
4,Mr. Cubitt,1,FALSE,,,,
4,Hilton Cubitt ,1,FALSE,,,,
4,master,1,FALSE,,,,
4,client,1,FALSE,,,,
4,husband,1,FALSE,,,,
4,Englishman,1,FALSE,,,,
4,an honourable gentleman,1,FALSE,,,,
4,a noble man,1,FALSE,,,,
5,groom,1,TRUE,,,,
6,Parker,1,TRUE,,,,
7,Elsie Patrick,1,TRUE,victim,,,
7,lady,1,FALSE,,,,
7,Elsie,1,FALSE,,,,
7,woman,1,FALSE,,,,
7,wife,1,FALSE,,,,
7,girl,1,FALSE,,,,
7,Mrs. Hilton Cubitt,1,FALSE,,,,
7,mistress,1,FALSE,,,,
8,stable-boy,1,TRUE,,,,
8,lad,1,FALSE,,,,
8,boy,1,FALSE,,,,
9,figure,1,TRUE,,,,
9,creature,1,FALSE,,,,
9,rascal,1,FALSE,,,,
9,this skulking man,1,FALSE,,,,
9,fellow,1,FALSE,,,,
10,Mrs. Hudson,1,TRUE,,,,
11,station-master,1,TRUE,,,,
12,old Patrick,1,TRUE,,,,
12,father,1,FALSE,,,,
13,Inspector Martin,1,TRUE,detective_2,,,
13,A dapper little man,1,FALSE,,,,
13,inspector,1,FALSE,,,,
13,Martin,1,FALSE,,,,
14,surgeon,1,TRUE,,,,
14,doctor,1,FALSE,,,,
15,constable,1,TRUE,,,,
15,policeman,1,FALSE,,,,
16,Saunders,1,TRUE,,,,
17,Mrs. King,1,TRUE,,,,
18,Mr. Abe Slaney,1,TRUE,perpetrator,murder and attempted murder,,
18,Abe Slaney,1,FALSE,,,,
18,the rascal,1,FALSE,,,,
18,the gentleman,1,FALSE,,,,
18,Mr. Slaney,1,FALSE,,,,
18,American,1,FALSE,,,,
18,Slaney,1,FALSE,,,,
18,prisoner,1,FALSE,,,,
