character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,detective,
1,my friend,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,Holmes,1,FALSE,,
1,Sherlock Holmes,1,FALSE,,
1,Mr. Busybody Holmes,1,FALSE,,
1,this gentleman,1,FALSE,,
2,Miss Violet Smith,1,TRUE,victim,
2,woman,1,FALSE,,
2,lady,1,FALSE,,
2,Miss Violet,1,FALSE,,
2,Miss Smith,1,FALSE,,
2,girl,1,FALSE,,
2,Our young friend,1,FALSE,,
2,client,1,FALSE,,
2,Mrs. Woodley,1,FALSE,,
2,niece,1,FALSE,,
3,John Vincent Harden,1,TRUE,,
4,Watson,1,TRUE,narrator,
4,sir,1,FALSE,,
5,Archie Stamford,1,TRUE,,
6,James Smith,1,TRUE,,
6,father,1,FALSE,,
6,brother,1,FALSE,,
7,mother,1,TRUE,,
8,Ralph Smith,1,TRUE,,
8,uncle,1,FALSE,,
8,Uncle Ralph,1,FALSE,,
8,the old fellow,1,FALSE,,
9,groom,1,TRUE,,
10,Mr. Carruthers,1,TRUE,,
10,Carruthers,1,FALSE,,
10,employer,1,FALSE,,
10,Bob,1,FALSE,,
10,Bob Carruthers,1,FALSE,,
10,a solitary man,1,FALSE,,
10,the same man ,1,FALSE,,
10,the man,1,FALSE,,
10,cyclist,1,FALSE,,
10,attendant,1,FALSE,,
10,my man,1,FALSE,,
10,The man on the bicycle,1,FALSE,,
10,stranger,1,FALSE,,
10,guide,1,FALSE,,
11,Mr. Woodley,1,TRUE,perpetrator,"abduction, assault"
11,host,1,FALSE,,
11,Woodley,1,FALSE,,
11,the gentleman himself,1,FALSE,,
11,"a brutal, heavy-faced, red-moustached young man",1,FALSE,,
11,bridegroom,1,FALSE,,
11,ruffian,1,FALSE,,
11,The injured man,1,FALSE,,
11,Roaring Jack Woodley,1,FALSE,,
11,Jack Woodley,1,FALSE,,
12,Mrs. Dixon,1,TRUE,,
12,lady-housekeeper,1,FALSE,,
13,Cyril Morton,1,TRUE,,
13,Cyril,1,FALSE,,
13,the gentleman to whom you are engaged,1,FALSE,,
14,daughter,1,TRUE,,
14,child,1,FALSE,,
15,superintendent,1,TRUE,,
16,The local house-agent,1,TRUE,,
17,Mr. Williamson ,1,TRUE,perpetrator,"abduction, assault"
17,Williamson,1,FALSE,,
17,The old man,1,FALSE,,
17,rascal,1,FALSE,,
17,"an elderly, grey-bearded man",1,FALSE,,
17,reprobate,1,FALSE,,
18,agent,1,TRUE,,
18,representative,1,FALSE,,
18,a London house-agent,1,FALSE,,
19,landlord,1,TRUE,,
20,Peter,1,TRUE,,
20,a young fellow,1,FALSE,,
