character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Thorneycroft Huxtable,1,TRUE,,
1,visitor,1,FALSE,,
1,Dr. Huxtable,1,FALSE,,
1,Dr. Thorneycroft Huxtable,1,FALSE,,
1,schoolmaster,1,FALSE,,
1,Mr. Huxtable,1,FALSE,,
1,the brow-beaten doctor,1,FALSE,,
1,Doctor,1,FALSE,,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
2,Mr. Holmes,1,FALSE,,
2,My friend,1,FALSE,,
2,Mr. Sherlock Holmes,1,FALSE,,
3,Dr. Watson,1,TRUE,,
3,Watson,1,FALSE,,
3,friend,1,FALSE,,
4,Lord Saltire,1,TRUE,,
4,the only son,1,FALSE,,
4,his son,1,FALSE,,
4,your son,1,FALSE,,
4,child,1,FALSE,,
4,boy ,1,FALSE,,
4,young Saltire ,1,FALSE,,
4,son,1,FALSE,,
4,the lad,1,FALSE,,
4,the young lord,1,FALSE,,
4,Arthur,1,FALSE,,
4,heir,1,FALSE,,
4,younger son,1,FALSE,,
4,your young master,1,FALSE,,
5,Duke of Holdernesse,1,TRUE,perpetrator2,"condoned felony, aided escape of murderer"
5,"Holdernesse, 6th Duke",1,FALSE,,
5,Grace,1,FALSE,,
5,Duke,1,FALSE,,
5,father,1,FALSE,,
5,Minister,1,FALSE,,
5,nobleman,1,FALSE,,
5,statesman,1,FALSE,,
5,Duke,1,FALSE,,
5,The proud lord,1,FALSE,,
6,James Wilder,1,TRUE,perpetrator,"murder, kidnapping"
6,Mr. Wilder,1,FALSE,,
6,Wilder,1,FALSE,,
6,secretary,1,FALSE,,
6,cyclist ,1,FALSE,,
6,the cycling man,1,FALSE,,
6,James,1,FALSE,,
6,elder son,1,FALSE,,
7,Duchess,1,TRUE,,
8,Heidegger,1,TRUE,,
8,this German master,1,FALSE,,
8,the master,1,FALSE,,
8,German,1,FALSE,,
8,German Master,1,FALSE,,
8,Herr Heidegger,1,FALSE,,
8,rider,1,FALSE,,
8,this poor fellow,1,FALSE,,
8,pursuer,1,FALSE,,
9,butler,1,TRUE,,
10,mother,1,TRUE,,
10,lady,1,FALSE,,
11,Caunter,1,TRUE,,
12,Mrs. Hayes,1,TRUE,,
13,policeman,1,TRUE,,
14,the frightened man,1,TRUE,,
14,a fellow,1,FALSE,,
15,Reuben Hayes,1,TRUE,perpetrator2,assisted kidnapping
15,"a squat, dark, elderly man",1,FALSE,,
15,countryman,1,FALSE,,
15,landlord,1,FALSE,,
15,Hayes,1,FALSE,,
15,husband,1,FALSE,,
15,accomplice,1,FALSE,,
16,smith,1,TRUE,,
16,that lad,1,FALSE,,
17,Lord Leverstoke,1,TRUE,,
18,Earl of Blackwater,1,TRUE,,
19,Sir Cathcart Soames,1,TRUE,,
20,footman,1,TRUE,,
20,lackey,1,FALSE,,
20,servant,1,FALSE,,
21,a doctor,1,TRUE,,
