character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,detective,
1,my friend,1,FALSE,,
1,Holmes,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,companion,1,FALSE,,
1,Sherlock Holmes,1,FALSE,,
2,Cardinal Tosca,1,TRUE,,
3,Holiness,1,TRUE,,
3,Pope,1,FALSE,,
4,Wilson,1,TRUE,,
5,Captain Peter Carey,1,TRUE,victim,
5,Peter Carey,1,FALSE,,
5,Black Peter,1,FALSE,,
5,the man himself,1,FALSE,,
5,husband,1,FALSE,,
5,Black Peter Carey,1,FALSE,,
5,the dead man,1,FALSE,,
5,captain,1,FALSE,,
5,Carey,1,FALSE,,
6,Captain Basil,1,TRUE,,
7,butcher,1,TRUE,,
8,James Lancaster,1,TRUE,,
8,Lancaster,1,FALSE,,
9,Stanley Hopkins,1,TRUE,detective2,
9,Hopkins,1,FALSE,,
9,Our visitor,1,FALSE,,
9,inspector,1,FALSE,,
9,Inspector Stanley Hopkins,1,FALSE,,
9,detective,1,FALSE,,
10,Watson,1,TRUE,,
10,Dr. Watson,1,FALSE,,
10,your friend,1,FALSE,,
11,John Hopley Neligan,1,TRUE,,
11,our man,1,FALSE,,
11,The stealthy man ,1,FALSE,,
11,The nocturnal visitor,1,FALSE,,
11,stranger,1,FALSE,,
11,the young man,1,FALSE,,
11,fellow,1,FALSE,,
11,The wretched man,1,FALSE,,
11,our prisoner,1,FALSE,,
11,young Neligan,1,FALSE,,
11,youth,1,FALSE,,
11,your man,1,FALSE,,
12,daughter,1,TRUE,,
13,Slater,1,TRUE,,
14,Patrick Cairns,1,TRUE,perpetrator,murderer
14,seaman,1,FALSE,,
14,your prisoner,1,FALSE,,
14,Mr. Patrick Cairns,1,FALSE,,
14,murderer,1,FALSE,,
14,a sailor man,1,FALSE,,
15,Mrs. Carey,1,TRUE,,
15,widow,1,FALSE,,
15,wife,1,FALSE,,
16,Hugh Pattins,1,TRUE,,
17,Duke of Holdernesse,1,TRUE,,
18,Neligan,1,TRUE,,
18,father,1,FALSE,,
19,Dawson,1,TRUE,,
20,mother,1,TRUE,,
21,Mrs. Hudson,1,TRUE,,
