character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",crime
1,Charles Augustus Milverton,1,TRUE,victim,
1,C. A. M.,1,FALSE,,
1,Milverton,1,FALSE,,
1,fiend,1,FALSE,,
1,"a small, stout man",1,FALSE,,
1,villain,1,FALSE,,
1,master,1,FALSE,,
1,Charles Milverton,1,FALSE,,
1,avenger,1,FALSE,,
1,Mr. Milverton,1,FALSE,,
2,Agatha,1,TRUE,,
2,housemaid,1,FALSE,,
3,Earl of Dovercourt,1,TRUE,,
3,Earl,1,FALSE,,
3,her future husband,1,FALSE,,
3,the lady's husband,1,FALSE,,
4,Dr. Watson,1,TRUE,narrator,
4,Watson,1,FALSE,,
4,second,1,FALSE,,
4,"a middle-sized, strongly-built man",1,FALSE,,
5,Mr. Sherlock Holmes,1,TRUE,detective,
5,Holmes,1,FALSE,,
5,friend,1,FALSE,,
5,Mr. Holmes,1,FALSE,,
5,Escott,1,FALSE,,
5,fellow,1,FALSE,,
6,Lady Eva Brackwell,1,TRUE,,
6,Lady Eva,1,FALSE,,
6,client,1,FALSE,,
6,lady,1,FALSE,,
7,Mr. Pickwick,1,TRUE,,
8,workman,1,TRUE,,
9,Honourable Miss Miles,1,TRUE,,
10,beast,1,TRUE,,
10,brute,1,FALSE,,
11,Colonel Dorking,1,TRUE,,
12,my husband,1,TRUE,,
13,woman,1,FALSE,,
14,Mr. Lestrade,1,TRUE,detective2,
14,inspector,1,FALSE,,
14,Lestrade,1,FALSE,,
15,pursuer,1,TRUE,,
