character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Lestrade,1,TRUE,detective2,
1,Lestrade,1,FALSE,,
1,official,1,FALSE,,
1,detective,1,FALSE,,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
2,Mr. Holmes,1,FALSE,,
2,Mr. Sherlock Holmes,1,FALSE,,
2,friend,1,FALSE,,
3,Dr. Watson,1,TRUE,narrator,
3,Watson,1,FALSE,,
4,The assistant,1,TRUE,,
5,cabman,1,TRUE,,
6,Dr. Barnicot,1,TRUE,,
7,Morse Hudson,1,TRUE,,
7,picture-dealer,1,FALSE,,
8,message-boy,1,TRUE,,
8,that fellow,1,FALSE,,
9,Mr. Horace Harker,1,TRUE,,
9,elderly man,1,FALSE,,
9,Mr. Harker,1,FALSE,,
9,The man in the dressing-gown ,1,FALSE,,
9,journalist ,1,FALSE,,
9,Harker,1,FALSE,,
10,Pietro Venucci,1,TRUE,victim,
10,dead man,1,FALSE,,
10,the poor fellow,1,FALSE,,
10,this other fellow,1,FALSE,,
10,Pietro,1,FALSE,,
11,Beppo,1,TRUE,perpetrator,"robber, murderer"
11,simian man,1,FALSE,,
11,The other fellow ,1,FALSE,,
11,figure,1,FALSE,,
11,The dark fellow,1,FALSE,,
11,the dark man,1,FALSE,,
11,prisoner,1,FALSE,,
11,his man ,1,FALSE,,
11,captive,1,FALSE,,
11,rascal,1,FALSE,,
11,burglar,1,FALSE,,
12,A young assistant,1,TRUE,,
13,Mr. Harding,1,TRUE,,
14,The manager,1,FALSE,,
15,cousin,1,TRUE,,
16,founder,1,FALSE,,
16,the manager,1,FALSE,,
17,Inspector Hill,1,TRUE,,
17,Hill,1,FALSE,,
18,messenger,1,TRUE,,
19,Mr. Sandeford,1,TRUE,,
19,"an elderly, red-faced man",1,FALSE,,
19,visitor,1,FALSE,,
20,Devine,1,TRUE,,
21,Napoleon the First,1,TRUE,,
21,Napoleon,1,FALSE,,
21,French Emperor,1,FALSE,,
21,Emperor,1,FALSE,,
22,Mr. Josiah Brown,1,TRUE,,
22,owner,1,FALSE,,
