character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes ,1,TRUE,detective,
1,friend,1,FALSE,,
1,Sherlock Holmes,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,Holmes,1,FALSE,,
2,landlady,1,TRUE,,
3,Mr. Hilton Soames,1,TRUE,victim,
3,Mr. Soames,1,FALSE,,
3,our visitor,1,FALSE,,
3,client,1,FALSE,,
3,Soames,1,FALSE,,
3,his master,1,FALSE,,
3,our guide,1,FALSE,,
3,tutor,1,FALSE,,
4,Bannister,1,TRUE,,
4,servant,1,FALSE,,
4,The servant man,1,FALSE,,
5,Watson,1,TRUE,narrator,
6,Daulat Ras,1,TRUE,,
6,the Indian student,1,FALSE,,
6,Indian,1,FALSE,,
7,Johann Faber,1,TRUE,,
7,Johann,1,FALSE,,
8,Gilchrist,1,TRUE,perpetrator,thief
8,scholar,1,FALSE,,
8,fellow,1,FALSE,,
8,the student,1,FALSE,,
8,Mr. Gilchrist,1,FALSE,,
8,young man,1,FALSE,,
8,gentleman,1,FALSE,,
8,son,1,FALSE,,
8,my poor young master,1,FALSE,,
8,rascal,1,FALSE,,
8,the man,1,FALSE,,
8,Your visitor,1,FALSE,,
8,The man,1,FALSE,,
8,criminal,1,FALSE,,
9,Sir Jabez Gilchrist,1,TRUE,,
9,employer,1,FALSE,,
10,Miles McLaren,1,TRUE,,
