character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,detective,
1,Holmes,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,companion,1,FALSE,,
2,Watson,1,TRUE,narrator,
2,doctor,1,FALSE,,
3,Stanley Hopkins,1,TRUE,detective2,
3,our midnight visitor,1,FALSE,,
3,detective,1,FALSE,,
3,Hopkins,1,FALSE,,
3,inspector,1,FALSE,,
3,detective,1,FALSE,,
4,Professor Coram,1,TRUE,,
4,this man,1,FALSE,,
4,the old man ,1,FALSE,,
4,Professor,1,FALSE,,
4,husband,1,FALSE,,
4,employer,1,FALSE,,
5,Crosby,1,TRUE,,
6,Susan Tarlton,1,TRUE,,
6,Susan,1,FALSE,,
7,Mr. Willoughby Smith,1,TRUE,victim,
7,Willoughby Smith,1,FALSE,,
7,Smith,1,FALSE,,
7,the young man,1,FALSE,,
7,dead man,1,FALSE,,
7,the dying man,1,FALSE,,
7,fellow,1,FALSE,,
7,Mr. Smith,1,FALSE,,
8,Mortimer,1,TRUE,,
8,gardener,1,FALSE,,
9,Mrs. Marker,1,TRUE,,
9,housekeeper,1,FALSE,,
9,maid,1,FALSE,,
9,"A sad-faced, elderly woman",1,FALSE,,
9,Our lady,1,FALSE,,
10,Addleton,1,TRUE,,
11,Anna,1,TRUE,perpetrator,murderer
11,the lady,1,FALSE,,
11,a strange woman,1,FALSE,,
11,a woman,1,FALSE,,
11,a lady,1,FALSE,,
11,this lady,1,FALSE,,
11,the woman,1,FALSE,,
11,assassin,1,FALSE,,
11,murderer,1,FALSE,,
11,visitor,1,FALSE,,
12,Andaman Islander,1,TRUE,,
13,constable,1,TRUE,,
14,secretary,1,TRUE,,
15,Alexis,1,TRUE,,
15,one,1,FALSE,,
16,Ionides of Alexandria,1,TRUE,,
17,French President ,1,TRUE,,
