character,value,rule,identification,"role (narrator, detective, victim, perpetrator)"
1,Mr. Sherlock Holmes,1,TRUE,detective
1,companion,1,FALSE,
1,Holmes,1,FALSE,
1,my friend,1,FALSE,
1,Mr. Holmes,1,FALSE,
1,Sherlock Holmes,1,FALSE,
1,Mr. Detective,1,FALSE,
2,Mr. Cyril Overton,1,TRUE,
2,Mr. Overton ,1,FALSE,
2,sender,1,FALSE,
2,speaker,1,FALSE,
2,Cyril Overton,1,FALSE,
2,athlete,1,FALSE,
2,giant,1,FALSE,
2,Overton,1,FALSE,
2,our visitor,1,FALSE,
2,gentleman,1,FALSE,
3,Godfrey Staunton,1,TRUE,
3,Godfrey,1,FALSE,
3,Staunton,1,FALSE,
3,your friend,1,FALSE,
3,Mr. Staunton,1,FALSE,
3,this young man ,1,FALSE,
3,nephew,1,FALSE,
3,Mr. Godfrey Staunton,1,FALSE,
3,the young man,1,FALSE,
3,lad,1,FALSE,
3,The poor boy,1,FALSE,
3,a young man,1,FALSE,
4,Moorhouse,1,TRUE,
5,Lord Mount-James,1,TRUE,
5,the old boy,1,FALSE,
5,the old man,1,FALSE,
5,a queer little old man,1,FALSE,
5,the little man,1,FALSE,
5,our unpleasant little visitor,1,FALSE,
5,uncle,1,FALSE,
5,nobleman,1,FALSE,
6,The night porter,1,TRUE,
7,The young woman,1,TRUE,
7,miss,1,FALSE,
7,lady,1,FALSE,
8,A woman,1,TRUE,
8,wife,1,FALSE,
8,daughter,1,FALSE,
9,servant,1,TRUE,
10,father,1,TRUE,
11,the porter,1,TRUE,
12,Bentley,1,TRUE,
13,Watson,1,TRUE,narrator
13,Dr. Watson,1,FALSE,
14,Dr. Leslie Armstrong,1,TRUE,
14,doctor,1,FALSE,
14,Leslie Armstrong ,1,FALSE,
14,master,1,FALSE,
14,Armstrong,1,FALSE,
14,Dr. Armstrong,1,FALSE,
14,a rough-looking man,1,FALSE,
14,fellow,1,FALSE,
14,The visitor,1,FALSE,
15,cabman,1,TRUE,
16,John,1,TRUE,
16,butler,1,FALSE,
17,Morton,1,TRUE,
18,Johnson,1,TRUE,
19,Stevenson,1,TRUE,
20,Henry Staunton,1,TRUE,
21,Arthur H. Staunton,1,TRUE,
22,Moriarty,1,TRUE,
23,coachman,1,TRUE,
24,Mr. Jeremy Dixon,1,TRUE,
24,Jeremy Dixon,1,FALSE,
25,Pompey,1,TRUE,
25,dog,1,FALSE,
