character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,detective,
1,this remarkable man,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,Holmes,1,FALSE,,
1,Sherlock Holmes,1,FALSE,,
1,friend,1,FALSE,,
1,expert,1,FALSE,,
1,this extraordinary man,1,FALSE,,
2,Lord Bellinger,1,TRUE,,
2,Premier,1,FALSE,,
2,Prime Minister,1,FALSE,,
2,the old statesman,1,FALSE,,
3,Trelawney Hope,1,TRUE,,
3,Secretary,1,FALSE,,
3,Mr. Trelawney Hope,1,FALSE,,
3,the younger statesman,1,FALSE,,
3,Mr. Hope,1,FALSE,,
3,Hope,1,FALSE,,
3,client,1,FALSE,,
3,husband,1,FALSE,,
4,the woman at Margate,1,TRUE,,
5,Henri Fournaye,1,TRUE,,
5,Fournaye,1,FALSE,,
5,the unhappy woman,1,FALSE,,
5,this mad wife of his,1,FALSE,,
6,Mrs. Pringle,1,TRUE,,
6,housekeeper,1,FALSE,,
7,Lady Hilda Trelawney Hope,1,TRUE,perpetrator,stealing_and_intercepting_letters
7,daughter,1,FALSE,,
7,the most lovely woman in London,1,FALSE,,
7,visitor,1,FALSE,,
7,ladyship,1,FALSE,,
7,lady,1,FALSE,,
7,the lady Hope,1,FALSE,,
7,Hilda,1,FALSE,,
7,wife,1,FALSE,,
7,The young woman,1,FALSE,,
8,maid,1,TRUE,,
9,potentate,1,TRUE,,
9,the man who wrote it,1,FALSE,,
10,Dr. Watson,1,TRUE,narrator,
10,Watson,1,FALSE,,
11,Jacobs,1,TRUE,,
12,John Mitton,1,TRUE,,
12,valet,1,FALSE,,
12,Mitton,1,FALSE,,
13,Oberstein,1,TRUE,,
14,La Rothiere,1,TRUE,,
15,Eduardo Lucas,1,TRUE,victim,
15,Mr. Eduardo Lucas,1,FALSE,,
15,Mr. Lucas,1,FALSE,,
15,tenant,1,FALSE,,
15,Lucas,1,FALSE,,
15,deceased,1,FALSE,,
15,the dead man,1,FALSE,,
15,master,1,FALSE,,
15,the poor man,1,FALSE,,
15,gentleman,1,FALSE,,
15,M. Henri Fournaye,1,FALSE,,
16,Constable MacPherson,1,TRUE,,
16,constable,1,FALSE,,
16,policeman,1,FALSE,,
16,MacPherson,1,FALSE,,
17,Inspector Lestrade,1,TRUE,detective2,
17,Lestrade,1,FALSE,,
18,butler,1,TRUE,,
19,Mrs. Hudson,1,TRUE,,
