character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. John Scott Eccles,1,TRUE,,
1,Scott Eccles,1,FALSE,,
1,Mr. Scott Eccles,1,FALSE,,
1,client,1,FALSE,,
1,visitor,1,FALSE,,
1,Mr. Eccles ,1,FALSE,,
1,Eccles,1,FALSE,,
1,Englishman,1,FALSE,,
2,Sherlock Holmes,1,TRUE,detective,
2,Mr. Holmes,1,FALSE,,
2,Holmes,1,FALSE,,
3,Watson,1,TRUE,narrator,
3,Dr. Watson,1,FALSE,,
4,Colonel Carruthers,1,TRUE,,
5,Mrs. Hudson,1,TRUE,,
6,Inspector Gregson,1,TRUE,detective2,
6,Gregson,1,FALSE,,
6,Mr. Inspector,1,FALSE,,
6,Mr. Gregson,1,FALSE,,
6,Londoner,1,FALSE,,
7,Inspector Baynes,1,TRUE,,
7,Mr. Baynes,1,FALSE,,
7,detective,1,FALSE,,
7,Baynes,1,FALSE,,
7,officer,1,FALSE,,
7,inspector,1,FALSE,,
8,Melville,1,TRUE,,
9,servant,1,TRUE,,
9,the manservant,1,FALSE,,
9,footman,1,FALSE,,
10,Mr. Aloysius Garcia,1,TRUE,victim,
10,Mr. Garcia,1,FALSE,,
10,man,1,FALSE,,
10,host,1,FALSE,,
10,his late master,1,FALSE,,
11,cook,1,TRUE,,
11,cook,1,FALSE,,
11,mulatto,1,FALSE,,
11,friend,1,FALSE,,
11,creature,1,FALSE,,
12,agent,1,TRUE,,
13,Constable Walters,1,TRUE,,
13,policeman,1,FALSE,,
13,Walters,1,FALSE,,
14,Constable Downing,1,TRUE,,
14,Downing,1,FALSE,,
15,Mr. Henderson,1,TRUE,,
15,Henderson,1,FALSE,,
15,employer,1,FALSE,,
15,Don Murillo,1,FALSE,,
15,Tiger of San Pedro,1,FALSE,,
15,dictator,1,FALSE,,
15,Juan Murillo,1,FALSE,,
15,tyrant,1,FALSE,,
15,his master,1,FALSE,,
16,Mr. Lucas,1,TRUE,,
16,emissary,1,FALSE,,
16,Lopez,1,FALSE,,
17,boy,1,TRUE,,
18,one confidential manservant,1,TRUE,,
19,Signora Victor Durando,1,TRUE,perpetrator,murderer
19,woman,1,FALSE,,
19,lady,1,FALSE,,
19,Miss Burnet,1,FALSE,,
20,Jose,1,TRUE,,
21,John Warner,1,TRUE,,
21,Warner,1,FALSE,,
22,husband,1,TRUE,,
23,Marquess of Montalva,1,TRUE,,
24,Signor Rulli,1,TRUE,,
