character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",,
1,Sherlock Holmes,1,TRUE,detective,,
1,Holmes,1,FALSE,,,
1,my comrade,1,FALSE,,,
1,Sherlock,1,FALSE,,,
1,friend,1,FALSE,,,
1,Mr. Holmes,1,FALSE,,,
2,Watson,1,TRUE,narrator,,
2,my trusted comrade,1,FALSE,,,
2,biographer,1,FALSE,,,
3,Arthur Cadogan West,1,TRUE,victim,,
3,the young man,1,FALSE,,,
3,Cadogan West,1,FALSE,,,
3,this young man,1,FALSE,,,
3,the murdered man,1,FALSE,,,
3,West,1,FALSE,,,
4,maid,1,TRUE,,,
5,Mr. Hugo Oberstein,1,TRUE,perpetrator,"murderer, thief",
5,Hugo Oberstein,1,FALSE,,,
5,agent,1,FALSE,,,
5,Oberstein,1,FALSE,,,
5,Mr. Oberstein,1,FALSE,,,
6,Mycroft Holmes,1,TRUE,,,
6,Mycroft,1,FALSE,,,
6,Brother Mycroft,1,FALSE,,,
7,Louis La Rothiere,1,TRUE,,,
8,Mr. Lestrade,1,TRUE,detective2,,
8,Lestrade,1,FALSE,,,
8,professional,1,FALSE,,,
9,Mr. Sidney Johnson,1,TRUE,,,
9,Sidney Johnson,1,FALSE,,,
10,Sir James Walter,1,TRUE,victim,,
10,Sir James,1,FALSE,,,
10,the famous official,1,FALSE,,,
10,fellow,1,FALSE,,,
10,Arthur,1,FALSE,,,
10,chief,1,FALSE,,,
10,chief constructor,1,FALSE,,,
11,Brooks,1,TRUE,,,
12,Woodhouse,1,TRUE,,,
13,wife,1,TRUE,,,
14,Adolph Mayer,1,TRUE,,,
15,Pierrot,1,TRUE,,,
16,valet,1,TRUE,,,
17,Mason,1,TRUE,,,
18,messenger,1,TRUE,,,
19,Admiral Sinclair ,1,TRUE,,,
20,a very helpful official,1,TRUE,,,
21,gentleman,1,TRUE,,,
21,clerk,1,FALSE,,,
22,passenger,1,TRUE,,,
23,butler,1,TRUE,,,
24,Colonel Valentine Walter,1,TRUE,,,
24,Colonel Valentine,1,FALSE,,,
24,brother,1,FALSE,,,
24,our man,1,FALSE,,,
24,prisoner,1,FALSE,,,
24,Colonel Walter,1,FALSE,,,
25,mother,1,TRUE,,,
25,lady,1,FALSE,,,
26,Miss Violet Westbury,1,TRUE,,,
26,Miss Westbury,1,FALSE,,,
26,fiancee,1,FALSE,,,
26,girl,1,FALSE,,,
