character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mrs. Hudson,1,TRUE,,
1,landlady,1,FALSE,,
2,Mr. Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
2,Mr. Holmes,1,FALSE,,
2,friend,1,FALSE,,
2,the dying man,1,FALSE,,
2,Sherlock Holmes,1,FALSE,,
2,the sick man,1,FALSE,,
2,companion,1,FALSE,,
3,Dr. Watson,1,TRUE,narrator,
3,Watson,1,FALSE,,
4,Dr. Ainstree,1,TRUE,,
4,the man you mention,1,FALSE,,
5,Inspector Morton,1,TRUE,detective2,
5,officer,1,FALSE,,
5,Inspector,1,FALSE,,
6,Mr. Culverton Smith,1,TRUE,perpetrator,murderer
6,the little man,1,FALSE,,
6,Mr. Smith,1,FALSE,,
6,Smith,1,FALSE,,
6,Culveron Smith,1,FALSE,,
6,visitor,1,FALSE,,
6,prisoner,1,FALSE,,
7,cabman,1,TRUE,,
8,Victor Savage,1,TRUE,victim,
8,Savage,1,FALSE,,
9,Staples,1,TRUE,,
9,butler,1,FALSE,,
