character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,detective,
1,Holmes,1,FALSE,,
1,patient,1,FALSE,,
1,my friend,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,my companion,1,FALSE,,
1,inspector,1,FALSE,,
2,Dr. Moore Agar,1,TRUE,,
3,Mr. Roundhay,1,TRUE,,
3,vicar,1,FALSE,,
3,clergyman,1,FALSE,,
3,visitor,1,FALSE,,
4,Mr. Mortimer Tregennis,1,TRUE,"pertetrator, victim2","murder, murder"
4,lodger,1,FALSE,,
4,his agitated companion,1,FALSE,,
4,Mr. Tregennis,1,FALSE,,
4,our friend here,1,FALSE,,
4,Mortimer Tregennis,1,FALSE,,
4,man,1,FALSE,,
4,Mortimer,1,FALSE,,
4,wretch,1,FALSE,,
5,Dr. Richards,1,TRUE,,
6,Dr. Leon Sterndale,1,TRUE,perpetrator2,murder
6,explorer,1,FALSE,,
6,Dr. Sterndale,1,FALSE,,
6,doctor,1,FALSE,,
6,Sterndale,1,FALSE,,
6,lion-hunter,1,FALSE,,
7,Watson,1,TRUE,narrator,
8,Miss Brenda Tregennis,1,TRUE,victim,murder
8,sister,1,FALSE,,
8,woman,1,FALSE,,
8,Brenda,1,FALSE,,
8,Brenda Tregennis,1,FALSE,,
9,servant,1,TRUE,,
10,police,1,TRUE,,
11,Owen,1,TRUE,,
12,George,1,TRUE,,
13,girl,1,TRUE,,
14,Mrs. Porter,1,TRUE,,
15,Helston,1,TRUE,,
16,boy,1,TRUE,,
17,farm-lad,1,TRUE,,
