character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",crime
1,Miss Susan Cushing,1,TRUE,,
1,Miss Cushing,1,FALSE,,
1,one,1,FALSE,,
2,Miss Sarah Cushing,1,TRUE,,
2,Sarah,1,FALSE,,
2,Miss S. Cushing,1,FALSE,,
2,Miss Sarah,1,FALSE,,
2,second,1,FALSE,,
2,Sarah Cushing,1,FALSE,,
3,Sherlock Holmes,1,TRUE,detective,
3,Holmes,1,FALSE,,
3,companion,1,FALSE,,
3,Mr. Holmes,1,FALSE,,
4,Watson,1,TRUE,narrator,
5,Alec Fairbairn,1,TRUE,victim2,
5,Fairbairn,1,FALSE,,
5,Alec,1,FALSE,,
6,captain,1,TRUE,,
7,youths,1,FALSE,,
7,students,1,FALSE,,
8,Mr. Lestrade,1,TRUE,detective2,
8,Lestrade,1,FALSE,,
8,detective,1,FALSE,,
9,Jim Browner,1,TRUE,perpetrator,murderer
9,brother-in-law,1,FALSE,,
9,Jim,1,FALSE,,
9,Mr. Browner,1,FALSE,,
9,gentleman,1,FALSE,,
9,steward,1,FALSE,,
9,Browner,1,FALSE,,
9,the husband,1,FALSE,,
9,James Browner,1,FALSE,,
10,Mrs. Browner,1,TRUE,victim,
10,Mary,1,FALSE,,
10,wife,1,FALSE,,
10,third,1,FALSE,,
10,sister,1,FALSE,,
11,postman,1,TRUE,,
12,Algar,1,TRUE,,
13,Inspector Montgomery,1,TRUE,,
13,inspector,1,FALSE,,
14,cabby,1,TRUE,,
