character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
3,Billy,1,TRUE,,
3,page,1,FALSE,,
4,Count Negretto Sylvius,1,TRUE,perpetrator,
4,Sylvius,1,FALSE,,
4,master criminal,1,FALSE,,
4,sportsman,1,FALSE,,
5,Sam Merton,1,TRUE,accomplice,
5,Merton,1,FALSE,,
5,Prize-fighter,1,FALSE,,
5,boxer,1,FALSE,,
6,Youghal,1,TRUE,does not show up,
7,Old Baron Dowson,1,TRUE,does not show up,
8,Ikey Sanders,1,TRUE,accomplice does not show up,
9,Lord Cantlemere,1,TRUE,,
9,lordship,1,FALSE,,
9,courtier,1,FALSE,,
