character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
3,Mr. James Phillimore,1,TRUE,not in story,
4,Isadora Persano,1,TRUE,not in story,
5,Neil Gibson,1,TRUE,,
5,Gold King,1,FALSE,,
5,senator,1,FALSE,,
5,Gibson,1,FALSE,,
5,millionaire,1,FALSE,,
6,Maria Pinto,1,TRUE,victim,
6,wife,1,FALSE,victim,
7,Grace Dunbar,1,TRUE,,
7,Dunbar,1,FALSE,,
7,governess,1,FALSE,,
8,Billy,1,TRUE,,
9,Mr. Marlow Bates,1,TRUE,client,
9,Bates,1,FALSE,,
9,manager,1,FALSE,,
10,Mr. Ferguson,1,TRUE,,
10,secretary,1,FALSE,,
11,Sergeant Coventry,1,TRUE,,
11,sergeant,1,FALSE,,
12,Joyce Cummings,1,TRUE,,
12,barrister,1,FALSE,,
12,Cummings,1,FALSE,,
