character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
3,Professor Presbury,1,TRUE,,
3,Camford physiologist,1,FALSE,,
4,Roy,1,TRUE,Presbury's dog,
4,wolfhound,1,TRUE,,
5,Mr. Bennett,1,TRUE,,
5,Trevor,1,FALSE,,
5,Jack,1,FALSE,,
6,Edith,1,TRUE,,
6,Miss Presbury,1,FALSE,,
7,Professor Morphy,1,TRUE,,
7,Alice Morphy,1,TRUE,,
8,student,1,TRUE,,
9,assistant,1,TRUE,,
10,Dorak,1,TRUE,,
10,dealer,1,FALSE,,
11,Mercer,1,TRUE,,
12,MacPhail,1,TRUE,,
12,coachman,1,FALSE,,
13,Lowenstein,1,TRUE,,
