character,value,rule,identification,role,notes
1,Watson,1,TRUE,narrator,
2,Sherlock Holmes,1,TRUE,detective,
2,Holmes,1,FALSE,,
3,Mr. Robert Ferguson,1,TRUE,client,
3,Big Bob,1,FALSE,,
3,friend,1,FALSE,,
3,husband,1,FALSE,,
4,lady,1,FALSE,suspect,
4,mother,1,FALSE,,
5,merchant,1,FALSE,,
6,Jack,1,TRUE,perpetrator,son of Bob poisons baby
6,child,1,FALSE,,
6,youth,1,FALSE,,
6,Jacky,1,FALSE,,
7,Mrs. Mason,1,TRUE,,
7,nurse,1,FALSE,,
8,Dolores,1,TRUE,,
8,maid,1,FALSE,,
8,girl,1,FALSE,,
9,Michael,1,TRUE,,
9,stablehand,1,FALSE,,
10,baby,1,FALSE,,
11,Carlo,1,TRUE,,
11,spaniel,1,FALSE,,
