character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,"detective, victim",
1,my friend,1,FALSE,,
1,Holmes,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,Sherlock Holmes,1,FALSE,,
1,the injured man,1,FALSE,,
1,sufferer,1,FALSE,,
2,Sir James Damery,1,TRUE,,
2,Damery,1,FALSE,,
2,Colonel Sir James Damery,1,FALSE,,
2,Colonel Damery,1,FALSE,,
2,Sir James,1,FALSE,,
2,our visitor,1,FALSE,,
2,our courtly friend,1,FALSE,,
3,Dr. Watson,1,TRUE,narrator,
3,Watson,1,FALSE,,
3,Dr. Hill Barton,1,FALSE,,
4,General de Merville,1,TRUE,,
4,De Merville of Khyber,1,FALSE,,
4,De Merville,1,FALSE,,
4,soldier,1,FALSE,,
4,father,1,FALSE,,
4,General,1,FALSE,,
5,Baron Gruner,1,TRUE,,
5,murderer,1,FALSE,,
5,villain,1,FALSE,,
5,Australian,1,FALSE,,
5,Baron Adelbert Gruner,1,FALSE,,
5,Baron,1,FALSE,,
5,Adelbert Gruner,1,FALSE,,
5,devil,1,FALSE,,
5,Adelbert,1,FALSE,,
5,this evil man,1,FALSE,,
5,this wicked man,1,FALSE,,
5,fiance,1,FALSE,,
5,master,1,FALSE,,
6,Violet de Merville,1,TRUE,,
6,daughter,1,FALSE,,
6,Miss Violet de Merville,1,FALSE,,
6,lady,1,FALSE,,
6,Violet,1,FALSE,,
6,the girl,1,FALSE,,
6,Miss de Merville,1,FALSE,,
6,this maddening woman,1,FALSE,,
6,that girl,1,FALSE,,
7,men,1,TRUE,perpetrator,violent assault
7,miscreants,1,FALSE,,
8,Shinwell Johnson,1,TRUE,,
8,Johnson,1,FALSE,,
8,Shinwell,1,FALSE,,
8,"a huge, coarse, red-faced, scorbutic man",1,FALSE,,
8,Porky Shinwell,1,FALSE,,
8,Porky,1,FALSE,,
9,Le Brun,1,TRUE,,
10,Miss Kitty Winter,1,TRUE,,
10,the young woman,1,FALSE,,
10,Miss Winter,1,FALSE,,
10,Miss W.,1,FALSE,,
10,companion,1,FALSE,,
10,Kitty Winter,1,FALSE,,
10,our enraged visitor,1,FALSE,,
10,the angry girl,1,FALSE,,
11,Sir Leslie Oakshott,1,TRUE,,
12,Lomax,1,TRUE,,
