character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. James M. Dodd,1,TRUE,,
1,Mr. Dodd,1,FALSE,,
1,client,1,FALSE,,
1,Dodd,1,FALSE,,
1,my elderly friend,1,FALSE,,
1,Jimmie,1,FALSE,,
2,Godfrey Emsworth,1,TRUE,,
2,Emsworth the Crimean V. C.,1,FALSE,,
2,Godfrey,1,FALSE,,
2,pal,1,FALSE,,
2,son,1,FALSE,,
2,my friend,1,FALSE,,
2,Godfrey Emsworth,1,FALSE,,
2,my poor friend,1,FALSE,,
2,Mr. Godfrey,1,FALSE,,
2,this gentleman,1,FALSE,,
2,this young man,1,FALSE,,
3,Mr. Holmes,1,TRUE,"narrator, detective",
3,Holmes,1,FALSE,,
4,Colonel Emsworth,1,TRUE,,
4,colonel,1,FALSE,,
4,father,1,FALSE,,
4,the old man,1,FALSE,,
4,host,1,FALSE,,
4,master,1,FALSE,,
4,that stern old man,1,FALSE,,
4,fellow,1,FALSE,,
4,soldier,1,FALSE,,
5,Watson,1,TRUE,,
5,my old friend,1,FALSE,,
5,biographer,1,FALSE,,
5,a grave and taciturn gentleman of iron-tray aspect,1,FALSE,,
5,companion,1,FALSE,,
5,my friend Watson,1,FALSE,,
6,Sir James Saunders,1,TRUE,,
6,Sir James,1,FALSE,,
6,Lord Roberts,1,FALSE,,
6,dermatologist,1,FALSE,,
7,Mr. Kent,1,TRUE,,
7,an elderly man,1,FALSE,,
8,Ralph’s wife,1,TRUE,,
8,my wife,1,FALSE,,
8,the butler’s wife,1,FALSE,,
9,Ralph,1,FALSE,,
9,butler,1,FALSE,,
10,"a small, dwarf-like man",1,FALSE,,
10,creature,1,FALSE,,
10,monster,1,FALSE,,
10,persecutor,1,FALSE,,
11,the little man with the beard,1,TRUE,,
12,mother,1,TRUE,,
12,my wife Emsworth,1,FALSE,,
12,lady,1,FALSE,,
12,his wife,1,FALSE,,
