character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Sherlock Holmes,1,TRUE,detective ,
1,Holmes,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,my dear companion,1,FALSE,,
2,Mr. Josiah Amberley,1,TRUE,perpetrator,murderer
2,Josiah Amberley,1,FALSE,,
2,fellow,1,FALSE,,
2,Mr. Amberley,1,FALSE,,
2,Amberley,1,FALSE,,
2,client,1,FALSE,,
2,colourman,1,FALSE,,
2,my companion,1,FALSE,,
2,prisoner,1,FALSE,,
3,Dr. Watson,1,TRUE,narrator,
3,Watson,1,FALSE,,
3,my long-suffering friend herethis chess-playing doctor,1,FALSE,,
3,friend,1,FALSE,,
4,woman,1,TRUE,,
5,Mrs. Amberley,1,TRUE,victim,
5,spouse,1,FALSE,,
5,wife,1,FALSE,,
6,Dr. Ray Ernest,1,TRUE,victim2,
6,Ernest,1,FALSE,,
6,Dr. Ernest,1,FALSE,,
6,lover,1,FALSE,,
6,this chess-playing doctor,1,FALSE,,
7,Mr. Barker,1,TRUE,,
7,lounger,1,FALSE,,
7,man,1,FALSE,,
7,Barker,1,FALSE,,
7,our taciturn companion,1,FALSE,,
8,J. C. Elman,1,TRUE,,
8,Elman,1,FALSE,,
8,vicar,1,FALSE,,
8,parson,1,FALSE,,
8,clergyman,1,FALSE,,
9,MacKinnon,1,TRUE,,
9,inspector,1,FALSE,,
9,Inspector,1,FALSE,,
9,Inspector MacKinnon,1,FALSE,,
