character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,detective,
1,Masser Holmes,1,FALSE,,
1,Holmes,1,FALSE,,
1,my friend,1,FALSE,,
1,Mr. Holmes,1,FALSE,,
1,captor,1,FALSE,,
2,Steve Dixie,1,TRUE,,
2,visitor,1,FALSE,,
2,negro,1,FALSE,,
2,savage,1,FALSE,,
2,Steve,1,FALSE,,
2,Black Steve,1,FALSE,,
2,negro prize-fighter,1,FALSE,,
2,nigger,1,FALSE,,
3,Perkins,1,FALSE,,
3,this boy,1,FALSE,,
4,magistrate,1,TRUE,,
5,Barney Stockdale,1,TRUE,,
5,Barney,1,FALSE,,
6,Susan,1,TRUE,,
6,woman,1,FALSE,,
7,Mortimer Maberley,1,TRUE,,
7,husband,1,FALSE,,
8,Mary Maberley,1,TRUE,victim,
8,Mrs. Maberley,1,FALSE,,
8,the lady who received us,1,FALSE,,
8,her mistress,1,FALSE,,
8,the lady in that house,1,FALSE,,
8,Client M.,1,FALSE,,
8,Our friend of yesterday,1,FALSE,,
9,Mr. Sutro,1,TRUE,,
9,Sutro,1,FALSE,,
9,gentleman,1,FALSE,,
9,lawyer,1,FALSE,,
10,Douglas Maberley,1,TRUE,,
10,Douglas,1,FALSE,,
10,my gallant boy,1,FALSE,,
10,lad,1,FALSE,,
10,son,1,FALSE,,
10,Maberley,1,FALSE,,
11,Isadora Klein,1,TRUE,perpetrator,hired burglary
11,your mistress,1,FALSE,,
11,the beautiful lady,1,FALSE,,
12,Haines-Johnson,1,TRUE,,
12,man,1,FALSE,,
12,agent,1,FALSE,,
13,inspector,1,FALSE,,
14,client,1,TRUE,,
15,machine,1,FALSE,,
15,footman,1,FALSE,,
16,Mary,1,TRUE,,
16,girl,1,FALSE,,
16,maidservant,1,FALSE,,
17,Dr. Watson,1,TRUE,narrator,
17,Watson,1,FALSE,,
18,ma,1,TRUE,,
19,Ferguson,1,TRUE,,
20,Duke of Lomond,1,TRUE,,
21,Langdale Pike,1,TRUE,,
21,Langdale,1,FALSE,,
22,Spencer John gang,1,TRUE,,
22,men,1,FALSE,,
22,bullies,1,FALSE,,
22,band,1,FALSE,,
22,ruffians,1,FALSE,,
22,boys,1,FALSE,,
22,Spencer John crowd,1,FALSE,,
22,rascals,1,FALSE,,
