character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Holmes,1,TRUE,"detective, narrator",
1,Holmes,1,FALSE,,
2,Fitzroy McPherson,1,TRUE,victim,
2,McPherson,1,FALSE,,
2,the man,1,FALSE,,
2,the dead man,1,FALSE,,
2,this poor man,1,FALSE,,
2,person,1,FALSE,,
2,Mr. McPherson,1,FALSE,,
2,Fitzroy,1,FALSE,,
2,F. M.,1,FALSE,,
2,master,1,FALSE,,
2,friend,1,FALSE,,
2,fellow,1,FALSE,,
3,Harold Stackhurst,1,TRUE,,
3,Stackhurst,1,FALSE,,
3,companion,1,FALSE,,
4,Watson,1,TRUE,,
5,housekeeper,1,TRUE,,
6,Ian Murdoch,1,TRUE,,
6,Murdoch,1,FALSE,,
6,Mr. Murdoch,1,FALSE,,
6,Mr. Ian Murdoch,1,FALSE,,
6,sufferer,1,FALSE,,
6,this man,1,FALSE,,
7,figures,1,TRUE,,
8,Tom Bellamy,1,TRUE,,
8,Bellamy,1,FALSE,,
8,Mr. Bellamy,1,FALSE,,
8,father,1,FALSE,,
9,Cyanea capillata,1,TRUE,perpetrator,murderer
9,victim,1,FALSE,,
9,this vile creature,1,FALSE,,
9,murderer,1,FALSE,,
9,acquiantance,1,FALSE,,
9,the creature,1,FALSE,,
10,Anderson,1,TRUE,,
10,constable,1,FALSE,,
11,occupants,1,TRUE,,
12,group,1,TRUE,,
13,Maud Bellamy,1,TRUE,,
13,Maudie,1,FALSE,,
13,lady,1,FALSE,,
13,girl,1,FALSE,,
13,Maud,1,FALSE,,
13,sister,1,FALSE,,
14,William,1,TRUE,,
14,son,1,FALSE,,
14,the younger man,1,FALSE,,
15,the faithful little creature,1,FALSE,,
15,dog,1,FALSE,,
16,Inspector Bardle,1,TRUE,detective2,
16,"The burly, phlegmatic man",1,FALSE,,
16,policeman,1,FALSE,,
16,Mr. Bardle,1,FALSE,,
16,inspector,1,FALSE,,
16,Inspector,1,FALSE,,
17,uncle,1,TRUE,,
18,Sudbury,1,TRUE,,
19,Blount,1,TRUE,,
