character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",
1,Mr. Sherlock Holmes,1,TRUE,detective,
1,Mr. Holmes,1,FALSE,,
1,my friend,1,FALSE,,
1,Sherlock Holmes,1,FALSE,,
1,Holmes,1,FALSE,,
2,Leonardo,1,TRUE,perpetrator,murderer
2,lover,1,FALSE,,
3,Mrs. Merrilow,1,TRUE,,
3,"an elderly, motherly woman of the buxom landlady type ",1,FALSE,,
3,visitor,1,FALSE,,
3,lady,1,FALSE,,
4,Eugenia Ronder,1,TRUE,perpetrator2,assistant murderer
4,wife,1,FALSE,,
4,the woman,1,FALSE,,
4,lodger,1,FALSE,,
4,inmate,1,FALSE,,
4,Mrs. Ronder,1,FALSE,,
4,the brave woman,1,FALSE,,
5,Dr. Watson,1,TRUE,narrator,
5,my dear friend,1,FALSE,,
6,Sahara King,1,TRUE,,
6,animal,1,FALSE,,
6,lion,1,FALSE,,
6,creature,1,FALSE,,
6,beast,1,FALSE,,
7,Ronder,1,TRUE,victim,
7,husband,1,FALSE,,
8,Edmunds,1,FALSE,,
8,Mr. Edmunds,1,FALSE,,
8,coroner,1,FALSE,,
8,man,1,FALSE,,
9,Jimmy Griggs,1,TRUE,,
9,Griggs,1,FALSE,,
10,Sanger,1,TRUE,,
11,milkman,1,TRUE,,
12,Wombwell,1,TRUE,,
13,camp,1,TRUE,,
