character,value,rule,identification,"role (narrator, detective, victim, perpetrator)",crime
1,Sherlock Holmes,1,TRUE,detective,
1,Mr. Holmes,1,FALSE,,
1,Holmes,1,FALSE,,
1,companion,1,FALSE,,
2,Stephens,1,TRUE,,
2,butler,1,FALSE,,
3,spaniel,1,TRUE,,
3,dog,1,FALSE,,
3,creature,1,FALSE,,
3,prize dog,1,FALSE,,
4,Dr. Watson,1,TRUE,narrator,
4,Watson,1,FALSE,,
5,policeman,1,TRUE,,
6,the accused man,1,TRUE,,
7,Merivale,1,TRUE,detective2,
8,Sir Robert Norberton,1,TRUE,perpetrator,omission 
8,Sir Robert,1,FALSE,,
8,Norberton,1,FALSE,,
8,Robert,1,FALSE,,
8,master,1,FALSE,,
8,brother,1,FALSE,,
8,baronet,1,FALSE,,
8,the man who bore it,1,FALSE,,
9,Sam Brewer,1,TRUE,,
10,Lady Beatrice Falder,1,TRUE,victim,
10,lady,1,FALSE,,
10,Lady Beatrice,1,FALSE,,
10,sister,1,FALSE,,
12,Sandy Bain,1,TRUE,,
13,Shoscombe Prince,1,TRUE,,
13,Prince,1,FALSE,,
14,Mr. John Mason,1,TRUE,,
14,"a tall, clean-shaven man",1,FALSE,,
14,client,1,FALSE,,
14,Mr. Mason,1,FALSE,,
14,visitor,1,FALSE,,
14,trainer,1,FALSE,,
14,Mason,1,FALSE,,
14,John Mason,1,FALSE,,
14,the lucky owner,1,FALSE,,
15,Carrie Evans,1,TRUE,,
15,maid,1,FALSE,,
15,Mrs. Norlett,1,FALSE,,
15,woman,1,FALSE,,
16,Josiah Barnes,1,TRUE,,
16,Barnes,1,FALSE,,
16,innkeeper,1,FALSE,,
16,Mr. Barnes,1,FALSE,,
16,landlord,1,FALSE,,
17,Sir James,1,TRUE,,
18,keeper,1,TRUE,,
19,coachman,1,TRUE,,
20,the sporting owner,1,TRUE,,
21,Mr. Norlett,1,TRUE,,
21,a small rat-faced man with a disagreeably furtive manner,1,FALSE,,
21,husband,1,FALSE,,
21,Norlett,1,FALSE,,
22,creditors,1,TRUE,,
